index,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,artist,song_name,cluster
612,0.188,0.183,0,-21.497,1,0.039,0.842,0.829,0.0888,0.039,84.593,audio_features,3qdcjaWIyUvivaO5lcpe0J,spotify:track:3qdcjaWIyUvivaO5lcpe0J,https://api.spotify.com/v1/tracks/3qdcjaWIyUvivaO5lcpe0J,https://api.spotify.com/v1/audio-analysis/3qdcjaWIyUvivaO5lcpe0J,144955,3,Leyenda,Elixir,0
613,0.349,0.294,2,-16.478,1,0.0326,0.825,0.894,0.107,0.389,67.995,audio_features,3IIJBXhYKDDRk5UAaSSacY,spotify:track:3IIJBXhYKDDRk5UAaSSacY,https://api.spotify.com/v1/tracks/3IIJBXhYKDDRk5UAaSSacY,https://api.spotify.com/v1/audio-analysis/3IIJBXhYKDDRk5UAaSSacY,165632,4,Yonder Dale,These Steady Hands,0
614,0.34,0.0843,2,-13.603,1,0.0337,0.848,0.614,0.14,0.161,83.618,audio_features,0PTqmbNYUtVviUHSVpcHhF,spotify:track:0PTqmbNYUtVviUHSVpcHhF,https://api.spotify.com/v1/tracks/0PTqmbNYUtVviUHSVpcHhF,https://api.spotify.com/v1/audio-analysis/0PTqmbNYUtVviUHSVpcHhF,186471,4,Don Eylert,Beyond Peaceful,0
615,0.217,0.141,11,-19.913,0,0.0369,0.968,0.835,0.111,0.0732,117.029,audio_features,7q9ehvNtDAyhFFD7w9L4yo,spotify:track:7q9ehvNtDAyhFFD7w9L4yo,https://api.spotify.com/v1/tracks/7q9ehvNtDAyhFFD7w9L4yo,https://api.spotify.com/v1/audio-analysis/7q9ehvNtDAyhFFD7w9L4yo,211212,4,Ceilidh,Suaimhneas,7
616,0.163,0.0273,3,-25.694,1,0.0444,0.905,0.974,0.112,0.0698,129.981,audio_features,67hrn4W0iAgUWwkVpmplTW,spotify:track:67hrn4W0iAgUWwkVpmplTW,https://api.spotify.com/v1/tracks/67hrn4W0iAgUWwkVpmplTW,https://api.spotify.com/v1/audio-analysis/67hrn4W0iAgUWwkVpmplTW,120303,4,Chime Dolma,Pathways,4
617,0.261,0.0257,1,-25.711,1,0.0406,0.956,0.878,0.111,0.0795,72.323,audio_features,6nx6oC4HgnZOxC4dgsPiIU,spotify:track:6nx6oC4HgnZOxC4dgsPiIU,https://api.spotify.com/v1/tracks/6nx6oC4HgnZOxC4dgsPiIU,https://api.spotify.com/v1/audio-analysis/6nx6oC4HgnZOxC4dgsPiIU,158424,5,Delle Alpi,Falling Stars,0
618,0.207,0.17,0,-21.361,1,0.0393,0.964,0.955,0.124,0.0359,93.356,audio_features,1sab9eLTbZCDOHxFAnO00e,spotify:track:1sab9eLTbZCDOHxFAnO00e,https://api.spotify.com/v1/tracks/1sab9eLTbZCDOHxFAnO00e,https://api.spotify.com/v1/audio-analysis/1sab9eLTbZCDOHxFAnO00e,188214,4,Calma,Essence,0
619,0.18,0.18,1,-22.439,1,0.0324,0.917,0.94,0.112,0.0713,64.105,audio_features,1h7XRTgZYY0TYDjYDnLfju,spotify:track:1h7XRTgZYY0TYDjYDnLfju,https://api.spotify.com/v1/tracks/1h7XRTgZYY0TYDjYDnLfju,https://api.spotify.com/v1/audio-analysis/1h7XRTgZYY0TYDjYDnLfju,141581,4,Light Bin,Moment of Clarity,0
620,0.0611,0.144,7,-20.203,0,0.0499,0.661,0.897,0.112,0.0352,66.586,audio_features,35i1Xb0oSslrXF1KT51IdK,spotify:track:35i1Xb0oSslrXF1KT51IdK,https://api.spotify.com/v1/tracks/35i1Xb0oSslrXF1KT51IdK,https://api.spotify.com/v1/audio-analysis/35i1Xb0oSslrXF1KT51IdK,202500,4,Spheres,Semblance of Reality,7
621,0.151,0.224,4,-17.596,1,0.0415,0.981,0.971,0.114,0.0362,69.421,audio_features,4BoKls3fZWdNJLgpoG8xcM,spotify:track:4BoKls3fZWdNJLgpoG8xcM,https://api.spotify.com/v1/tracks/4BoKls3fZWdNJLgpoG8xcM,https://api.spotify.com/v1/audio-analysis/4BoKls3fZWdNJLgpoG8xcM,145293,4,Seismic Shift,Floating,0
622,0.193,0.0274,5,-31.528,1,0.0408,0.538,0.816,0.119,0.0472,79.823,audio_features,02hFekfpXLbeoBIdCEgbBc,spotify:track:02hFekfpXLbeoBIdCEgbBc,https://api.spotify.com/v1/tracks/02hFekfpXLbeoBIdCEgbBc,https://api.spotify.com/v1/audio-analysis/02hFekfpXLbeoBIdCEgbBc,228000,3,Everything Will Rust,Empty Spaces,7
623,0.203,0.0247,2,-27.602,1,0.0367,0.958,0.798,0.0759,0.0398,76.907,audio_features,4BF3edqOaAcQiavsuigQq9,spotify:track:4BF3edqOaAcQiavsuigQq9,https://api.spotify.com/v1/tracks/4BF3edqOaAcQiavsuigQq9,https://api.spotify.com/v1/audio-analysis/4BF3edqOaAcQiavsuigQq9,187636,4,Bliss Phenomena,Illuminous,0
624,0.174,0.00449,6,-37.192,1,0.0387,0.99,0.934,0.0848,0.0581,67.42,audio_features,0RIJAaogvQkeFuZVPhYlma,spotify:track:0RIJAaogvQkeFuZVPhYlma,https://api.spotify.com/v1/tracks/0RIJAaogvQkeFuZVPhYlma,https://api.spotify.com/v1/audio-analysis/0RIJAaogvQkeFuZVPhYlma,227668,5,Atmos 11,Atmos Eleven,7
625,0.324,0.0413,9,-21.597,0,0.035,0.882,0.815,0.107,0.0315,97.902,audio_features,2RFKUV4kldNDEYE3RkNtpE,spotify:track:2RFKUV4kldNDEYE3RkNtpE,https://api.spotify.com/v1/tracks/2RFKUV4kldNDEYE3RkNtpE,https://api.spotify.com/v1/audio-analysis/2RFKUV4kldNDEYE3RkNtpE,166000,4,12dust,Rosemary,7
626,0.0895,0.0663,7,-26.715,1,0.0581,0.941,0.829,0.105,0.0472,67.721,audio_features,2qY229WUHhY4sWfPxeXZrg,spotify:track:2qY229WUHhY4sWfPxeXZrg,https://api.spotify.com/v1/tracks/2qY229WUHhY4sWfPxeXZrg,https://api.spotify.com/v1/audio-analysis/2qY229WUHhY4sWfPxeXZrg,216000,4,Zen Atlas,Passed the Heliosphere,7
627,0.0657,0.0739,3,-20.907,0,0.0454,0.992,0.934,0.119,0.0358,57.31,audio_features,0AXQFmU88hVhan5teKTPl5,spotify:track:0AXQFmU88hVhan5teKTPl5,https://api.spotify.com/v1/tracks/0AXQFmU88hVhan5teKTPl5,https://api.spotify.com/v1/audio-analysis/0AXQFmU88hVhan5teKTPl5,220446,4,Moments of Clarity,Path of Light,0
628,0.0797,0.032,5,-28.533,1,0.0464,0.968,0.977,0.364,0.0715,62.399,audio_features,37bWNUTzhM1DvYyOEXY0rC,spotify:track:37bWNUTzhM1DvYyOEXY0rC,https://api.spotify.com/v1/tracks/37bWNUTzhM1DvYyOEXY0rC,https://api.spotify.com/v1/audio-analysis/37bWNUTzhM1DvYyOEXY0rC,226364,4,Intentional Vibes,...There You Are!,7
629,0.203,0.0278,10,-28.265,1,0.0462,0.933,0.877,0.0983,0.0375,141.46,audio_features,32HG8Lvryuz8NCQQW0YO46,spotify:track:32HG8Lvryuz8NCQQW0YO46,https://api.spotify.com/v1/tracks/32HG8Lvryuz8NCQQW0YO46,https://api.spotify.com/v1/audio-analysis/32HG8Lvryuz8NCQQW0YO46,132307,5,Elevie J,Yoga Depth,4
630,0.145,0.0861,3,-25.962,1,0.0494,0.78,0.681,0.111,0.0365,77.576,audio_features,2R0jJNaZzXUklvrjpbRS66,spotify:track:2R0jJNaZzXUklvrjpbRS66,https://api.spotify.com/v1/tracks/2R0jJNaZzXUklvrjpbRS66,https://api.spotify.com/v1/audio-analysis/2R0jJNaZzXUklvrjpbRS66,180822,4,Spirit Minds,Shimmer,0
631,0.254,0.333,3,-16.051,1,0.0526,0.884,0.94,0.122,0.0392,137.801,audio_features,2LCJEUpAFLETtWCCcA4VKv,spotify:track:2LCJEUpAFLETtWCCcA4VKv,https://api.spotify.com/v1/tracks/2LCJEUpAFLETtWCCcA4VKv,https://api.spotify.com/v1/audio-analysis/2LCJEUpAFLETtWCCcA4VKv,230769,5,The Tides,New Beginning,4
632,0.225,0.215,0,-17.989,1,0.0374,0.918,0.896,0.113,0.0357,69.781,audio_features,6xIl1x7mWago7qpDn5tKfA,spotify:track:6xIl1x7mWago7qpDn5tKfA,https://api.spotify.com/v1/tracks/6xIl1x7mWago7qpDn5tKfA,https://api.spotify.com/v1/audio-analysis/6xIl1x7mWago7qpDn5tKfA,165000,4,Light & Sound,Inner Dimension,0
633,0.507,0.0645,0,-24.972,1,0.0307,0.955,0.926,0.0898,0.0382,100.983,audio_features,3nfo4XNg7pyQLmHppIRANv,spotify:track:3nfo4XNg7pyQLmHppIRANv,https://api.spotify.com/v1/tracks/3nfo4XNg7pyQLmHppIRANv,https://api.spotify.com/v1/audio-analysis/3nfo4XNg7pyQLmHppIRANv,252006,4,Padauk,Black Iris,0
634,0.284,0.179,4,-17.185,1,0.0392,0.852,0.941,0.115,0.0357,129.875,audio_features,7EOou80jtKNv4t6P5ZYp1h,spotify:track:7EOou80jtKNv4t6P5ZYp1h,https://api.spotify.com/v1/tracks/7EOou80jtKNv4t6P5ZYp1h,https://api.spotify.com/v1/audio-analysis/7EOou80jtKNv4t6P5ZYp1h,230323,4,Adumbration,Adumbration,4
635,0.0929,0.0455,0,-24.381,1,0.0469,0.962,0.967,0.108,0.0338,165.182,audio_features,3fPDwXNYVnj3ROLieCtOGR,spotify:track:3fPDwXNYVnj3ROLieCtOGR,https://api.spotify.com/v1/tracks/3fPDwXNYVnj3ROLieCtOGR,https://api.spotify.com/v1/audio-analysis/3fPDwXNYVnj3ROLieCtOGR,196667,4,Clouds of Calm,The Deep Blue,4
636,0.193,0.0453,7,-26.219,1,0.0577,0.952,0.961,0.104,0.119,67.675,audio_features,55EbjQa4Th0gmzKQdSnMrw,spotify:track:55EbjQa4Th0gmzKQdSnMrw,https://api.spotify.com/v1/tracks/55EbjQa4Th0gmzKQdSnMrw,https://api.spotify.com/v1/audio-analysis/55EbjQa4Th0gmzKQdSnMrw,247258,4,Tejal Yann,Atmosphere,7
637,0.0845,0.161,8,-21.986,1,0.0484,0.789,0.685,0.0767,0.0339,47.714,audio_features,5qndjKZTvJBodDiHSPFo55,spotify:track:5qndjKZTvJBodDiHSPFo55,https://api.spotify.com/v1/tracks/5qndjKZTvJBodDiHSPFo55,https://api.spotify.com/v1/audio-analysis/5qndjKZTvJBodDiHSPFo55,189025,4,Crystalsong,Lost Worlds,7
638,0.249,0.408,0,-11.078,1,0.0322,0.916,0.838,0.226,0.052,77.922,audio_features,5OxLsoveEfCtK2M3CuqCd7,spotify:track:5OxLsoveEfCtK2M3CuqCd7,https://api.spotify.com/v1/tracks/5OxLsoveEfCtK2M3CuqCd7,https://api.spotify.com/v1/audio-analysis/5OxLsoveEfCtK2M3CuqCd7,250934,4,Spirits Of Our Dreams,Minds Traversed,0
639,0.298,0.0297,9,-18.538,1,0.0428,0.967,0.937,0.0927,0.132,75.84,audio_features,76aOwjgXrk9f8SPhDcLXWz,spotify:track:76aOwjgXrk9f8SPhDcLXWz,https://api.spotify.com/v1/tracks/76aOwjgXrk9f8SPhDcLXWz,https://api.spotify.com/v1/audio-analysis/76aOwjgXrk9f8SPhDcLXWz,140829,4,Places Within,Stills,7
640,0.12,0.0585,3,-27.623,1,0.0383,0.696,0.939,0.11,0.0397,78.662,audio_features,1aa3A3F6b5FZFtXAhtrybK,spotify:track:1aa3A3F6b5FZFtXAhtrybK,https://api.spotify.com/v1/tracks/1aa3A3F6b5FZFtXAhtrybK,https://api.spotify.com/v1/audio-analysis/1aa3A3F6b5FZFtXAhtrybK,184642,5,Antologie,Time Travel,0
