,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
40,Calming Tune,Feel a Sense,Butterfly Wings,2021-06-20,198750,47,0.222,0.972,0.222,0.0116,0.896,0.112,-36.371,0.0357,72.608,3
41,Calibration of Time,Calibration of Time,Sleep Lab,2021-06-07,200379,64,0.0869,0.959,0.0869,0.0303,0.926,0.11,-33.156,0.0401,84.063,4
42,Farscapes,Farscapes,Milan Moux,2021-06-28,179431,46,0.204,0.991,0.204,0.00607,0.864,0.1,-33.365,0.0412,72.693,5
43,Večeras,Večeras,Judi Khan,2020-11-20,185000,65,0.154,0.984,0.154,0.00356,0.801,0.0981,-36.026,0.0421,70.616,4
44,Dark Lights,Dark Lights,Emmitt Howard,2021-02-26,157250,64,0.0715,0.994,0.0715,0.00962,0.923,0.118,-31.935,0.0424,78.147,3
45,Calm Embrace,Calm Embrace,Esa Plant,2021-06-06,176540,63,0.0605,0.896,0.0605,0.0484,0.932,0.104,-31.737,0.0536,58.975,4
46,Stillness,Stillness,Juliana Stipe,2020-11-18,150066,65,0.224,0.995,0.224,0.00318,0.879,0.113,-42.013,0.0479,68.452,1
47,Acceptance,Acceptance,Minnie Delarosa,2021-06-24,187000,55,0.166,0.986,0.166,0.00758,0.914,0.129,-31.497,0.0447,69.711,3
48,Exilio,Exilio,Hello Artemisia!,2021-03-19,149092,45,0.151,0.979,0.151,0.00367,0.799,0.101,-34.407,0.0452,67.774,3
49,Ataraxia,Ataraxia,Albin Urías,2020-10-23,186624,45,0.138,0.923,0.138,0.00553,0.926,0.11,-33.682,0.045,69.831,4
50,Lenitivo,Lenitivo,Jeanelle Bolduc,2021-03-02,180624,68,0.183,0.987,0.183,0.0123,0.785,0.0869,-34.571,0.0409,72.183,4
51,Protagonist,Protagonist,Global Hum,2021-05-14,160806,48,0.0674,0.974,0.0674,0.0018,0.878,0.136,-30.871,0.0446,71.837,4
52,Axis Of Action,Axis Of Action,Esther Dutch,2021-05-14,154285,53,0.242,0.98,0.242,0.00776,0.708,0.0944,-33.809,0.038,69.826,4
53,Catharsis,Catharsis,Zzeta,2021-05-14,166922,54,0.199,0.952,0.199,0.0201,0.662,0.0956,-30.364,0.035,68.276,4
54,"Ut Ameris, Amabilis Esto","Ut Ameris, Amabilis Esto",Alma Grøtte,2021-02-26,184250,65,0.137,0.984,0.137,0.00726,0.855,0.115,-34.757,0.0476,59.998,3
55,Pomiri se,Pomiri se,Fabijan Spaći,2020-10-23,219000,46,0.134,0.965,0.134,0.00754,0.786,0.0958,-35.237,0.0386,73.329,3
56,Huitussi,Huitussi,Sayulita,2021-03-19,177146,56,0.207,0.967,0.207,0.0127,0.847,0.112,-29.394,0.0381,75.171,3
57,Lie With Me,Lie With Me,Minnie Delarosa,2020-10-23,188500,53,0.0652,0.97,0.0652,0.00656,0.959,0.131,-33.65,0.0436,64.789,3
58,Let Me Disappear,Let Me Disappear,IGRAINE,2021-02-23,203500,48,0.123,0.991,0.123,0.00338,0.896,0.108,-33.188,0.0399,72.585,3
59,Metanoia,Metanoia,Auxelia,2020-10-22,154522,45,0.189,0.948,0.189,0.00216,0.865,0.122,-42.964,0.0454,69.115,5
60,Boreas,Boreas,Tide Machine,2020-10-21,174857,53,0.191,0.92,0.191,0.13,0.921,0.102,-28.665,0.0601,140.828,5
61,Salaio,Salaio,De Seu,2021-03-19,156976,55,0.241,0.986,0.241,0.0166,0.86,0.112,-32.443,0.0353,69.041,3
62,Polaris,Polaris,Stellarscopees,2020-10-19,208192,56,0.114,0.972,0.114,0.0178,0.906,0.102,-31.477,0.0455,74.448,4
63,Trust the Universe,Trust the Universe,Chama Wijnen,2019-11-15,169000,59,0.173,0.993,0.173,0.00826,0.902,0.0904,-32.053,0.0369,72.312,3
64,No me despiertes,No me despiertes,Artura Ponce Valles,2019-06-22,187250,53,0.203,0.99,0.203,0.00588,0.829,0.118,-34.66,0.0391,69.468,4
65,Desiderio,Desiderio,Artemio Li Fonti,2021-01-22,206500,65,0.0701,0.988,0.0701,0.00432,0.877,0.0891,-34.881,0.0419,76.644,4
66,awakening,awakening,"oh, the joy.",2020-08-02,154506,49,0.14,0.934,0.14,0.00107,0.703,0.101,-45.823,0.0626,139.826,1
67,Imagination,Imagination,Adriana Milou,2021-06-25,237738,44,0.195,0.986,0.195,0.00468,0.915,0.109,-36.572,0.0382,69.551,4
68,Waiting,Waiting,Selma Ström,2021-03-26,133663,44,0.194,0.989,0.194,0.0336,0.974,0.0769,-29.119,0.0346,74.873,3
69,Continuation,Continuation,Yonatan Awate,2020-02-07,161500,58,0.204,0.977,0.204,0.00988,0.754,0.0974,-33.749,0.0435,69.683,3
70,Ängarna,Ängarna,Himlavalv,2021-06-20,185000,52,0.182,0.981,0.182,0.0487,0.866,0.0712,-30.988,0.0375,71.219,3
71,Atmosfären,Atmosfären,Corimbo,2021-01-15,152307,48,0.201,0.995,0.201,0.0033,0.907,0.0891,-37.97,0.05,69.823,3
72,Longing,Longing,Joaquin Mans,2019-05-30,132787,50,0.417,0.987,0.417,0.00178,0.962,0.113,-30.139,0.0811,70.282,4
