,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
36,Intentions,Intentions,Kidz Bop Kids,2020-06-26,165279,42,0.791,0.712,0.791,0.652,0.0,0.0875,-6.779,0.0395,147.933,4
37,Circles,Mini Pop Kids 17,Mini Pop Kids,2019-11-15,210247,31,0.85,0.133,0.85,0.459,0.0,0.0878,-8.481,0.0347,121.017,4
38,ily (i love you baby),KIDZ BOP 2021,Kidz Bop Kids,2020-10-23,176170,32,0.626,0.00153,0.626,0.734,0.0,0.356,-5.357,0.0324,112.018,4
39,"Born to Be Brave - From ""High School Musical: The Musical: The Series""","Born to Be Brave (From ""High School Musical: The Musical: The Series"")",Cast of High School Musical: The Musical: The Series,2019-12-04,189870,49,0.705,0.026,0.705,0.734,0.0,0.158,-4.526,0.0553,117.962,4
40,U-N-I,The J Team (Original Motion Picture Soundtrack),JoJo Siwa,2021-08-27,147353,40,0.726,0.0326,0.726,0.826,0.0,0.435,-6.611,0.0838,103.984,4
41,"10,000 Hours","10,000 Hours",Mini Pop Kids,2020-01-24,166672,31,0.723,0.321,0.723,0.52,0.0,0.0842,-5.056,0.03,90.008,4
42,Happy,Despicable Me 2 (Original Motion Picture Soundtrack),Various Artists,2013-06-18,233305,1,0.652,0.286,0.652,0.757,0.0,0.0886,-6.819,0.153,159.911,4
43,Panini,Panini,Kidz Bop Kids,2020-05-15,117319,43,0.696,0.358,0.696,0.541,0.0,0.198,-6.241,0.0382,77.035,4
44,I Love Me,I Love Me,Mini Pop Kids,2020-04-03,200736,30,0.739,0.0131,0.739,0.434,0.0,0.14,-4.287,0.0641,150.032,4
45,How Do You Sleep?,KIDZ BOP 40,Kidz Bop Kids,2019-11-15,192133,39,0.596,0.12,0.596,0.606,0.0,0.0782,-6.453,0.052,165.86,4
46,Some Things Never Change,Frozen 2 (Original Motion Picture Soundtrack/Deluxe Edition),Various Artists,2019-11-15,209964,66,0.566,0.613,0.566,0.543,0.0,0.106,-4.485,0.0314,89.937,4
47,Better When I'm Dancin',The Peanuts Movie - Original Motion Picture Soundtrack,Various Artists,2015-10-23,176266,41,0.755,0.53,0.755,0.786,0.000548,0.156,-7.002,0.0326,127.987,4
48,Call to the Wild,ZOMBIES 2 (Original TV Movie Soundtrack),Various Artists,2020-02-14,156843,57,0.786,0.0939,0.786,0.83,0.0,0.118,-7.23,0.128,131.0,4
49,Good Mood - Original Song From Paw Patrol: The Movie,Good Mood (Original Song From Paw Patrol: The Movie),Adam Levine,2021-08-06,210643,66,0.735,0.00088,0.735,0.694,0.0,0.0582,-5.258,0.0387,121.46,4
50,Shake It Off,KIDZ BOP 34,Kidz Bop Kids,2017-01-20,208600,14,0.698,0.0482,0.698,0.893,0.0,0.0756,-3.402,0.143,79.997,4
51,I'm a Queen!,REMIX,L.O.L. Surprise!,2020-09-25,202285,41,0.566,0.0428,0.566,0.713,0.0,0.105,-7.366,0.0701,139.973,4
52,Ice Cream Cold,Da Boss Baby,ZaZa,2020-05-22,103506,30,0.936,0.266,0.936,0.49,0.0949,0.199,-8.999,0.248,98.94,4
53,Catchy Song (feat. T-Pain & That Girl Lay Lay),Catchy Song (feat. T-Pain & That Girl lay Lay) [From The LEGO® Movie 2: The Second Part - Original Motion Picture Soundtrack],Dillon Francis,2019-01-18,168096,5,0.804,0.00204,0.804,0.895,6.4e-06,0.264,-5.853,0.0351,119.968,4
54,Señorita,Mini Pop Kids 17,Mini Pop Kids,2019-11-15,190939,31,0.756,0.0825,0.756,0.609,0.0,0.19,-3.579,0.0316,117.052,4
55,Try Everything,Zootopia (Original Motion Picture Soundtrack),Michael Giacchino,2016-02-12,196853,67,0.705,0.0257,0.705,0.609,0.0,0.0846,-4.897,0.0307,115.474,4
56,Good to Be Bad,Descendants 3 (Original TV Movie Soundtrack),Various Artists,2019-08-02,189868,56,0.843,0.106,0.843,0.893,0.0,0.32,-5.653,0.126,116.302,4
57,Say So,Say So,Mini Pop Kids,2020-06-26,193504,31,0.884,0.0907,0.884,0.487,0.0,0.11,-10.368,0.0858,111.026,4
58,When The Party's Over,If I Can’t Have You,Kidz Bop Kids,2019-08-09,196893,38,0.448,0.906,0.448,0.166,0.0,0.369,-9.355,0.0362,123.936,3
59,Snacks,Snacks,Novi,2019-11-22,169586,0,0.793,0.0736,0.793,0.428,0.0,0.079,-7.34,0.0399,120.942,4
60,Old Town Road,Old Town Road,Kidz Bop Kids,2019-05-31,110346,54,0.784,0.0667,0.784,0.51,0.0,0.0773,-6.546,0.0405,135.909,4
61,Timber,KIDZ BOP 33,Kidz Bop Kids,2016-10-14,190426,15,0.597,0.00123,0.597,0.854,0.0,0.16,-2.752,0.0373,130.057,4
62,Con Altura,Con Altura,Kidz Bop Kids,2019-08-02,152386,36,0.869,0.372,0.869,0.686,3.57e-05,0.0668,-5.324,0.114,97.951,4
63,You Need To Calm Down,Mini Pop Kids 17,Mini Pop Kids,2019-11-15,167740,28,0.786,0.00522,0.786,0.596,0.0,0.11,-6.711,0.117,84.948,4
64,Truth Hurts,Truth Hurts,Kidz Bop Kids,2019-09-06,163640,41,0.715,0.29,0.715,0.618,0.0,0.0908,-4.975,0.0543,157.786,4
65,You've Got a Friend in Me,Toy Story 4 (Original Motion Picture Soundtrack),Randy Newman,2019-06-21,124386,54,0.698,0.82,0.698,0.301,2.16e-06,0.2,-13.063,0.03,115.643,4
66,2020 Vision,2020 Vision,Kidz Bop Kids,2020-03-13,179519,41,0.829,0.0266,0.829,0.808,2.17e-06,0.0547,-4.792,0.0663,123.99,4
67,Queen of Mean,Descendants 3 (Original TV Movie Soundtrack),Various Artists,2019-08-02,189397,64,0.543,0.248,0.543,0.787,0.0,0.0778,-6.52,0.241,173.702,4
68,Born This Way,Mini Pop Kids 17,Mini Pop Kids,2019-11-15,260373,29,0.602,0.142,0.602,0.869,0.0,0.212,-5.546,0.172,124.004,4
69,Cake By The Ocean,KIDZ BOP 32,Kidz Bop Kids,2016-01-01,204533,24,0.807,0.00117,0.807,0.696,0.0,0.0457,-3.984,0.039,119.033,4
70,Uptown Funk,Kidz Bop 28,Kidz Bop Kids,2015-03-23,224133,0,0.817,0.0492,0.817,0.882,0.0,0.0488,-3.86,0.241,115.017,4
71,Worldwide Party,Celebrate,JoJo Siwa,2019-04-12,178744,46,0.664,0.0341,0.664,0.945,0.0,0.274,-3.846,0.0875,170.013,4
72,Havana,Mini Pop Kids 15,Mini Pop Kids,2017-11-24,215568,0,0.81,0.14,0.81,0.653,0.000399,0.245,-5.242,0.0277,104.957,4
73,ME!,ME!,Mini Pop Kids,2019-06-07,188753,28,0.626,0.185,0.626,0.791,0.0,0.168,-4.437,0.212,181.826,4
74,"Carry On (from the Original Motion Picture ""POKÉMON Detective Pikachu"")","Carry On (from the Original Motion Picture ""POKÉMON Detective Pikachu"")",Kygo,2019-04-19,215315,67,0.591,0.381,0.591,0.705,0.000116,0.131,-6.519,0.079,121.799,4
75,Best Day of My Life,Kidz Bop 26,Kidz Bop Kids,2014-07-15,194040,0,0.705,0.0828,0.705,0.909,0.0,0.0712,-2.696,0.0604,100.035,4
76,I Don't Care,I Don't Care,Kidz Bop Kids,2019-06-28,221426,37,0.73,0.242,0.73,0.65,1.33e-06,0.078,-5.735,0.0414,102.017,4
77,Rise,KIDZ BOP World Tour,Kidz Bop Kids,2019-05-24,192333,35,0.789,0.253,0.789,0.704,0.0,0.155,-5.229,0.034,106.031,4
