,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
38,"Too Much, Too Fast","Too Much, Too Fast",Kari Faux,2021-08-17,154285,37,0.739,0.254,0.739,0.817,2.12e-06,0.12,-5.921,0.197,90.863,4
39,Quiet On Set,Quiet On Set / Grumpy Old Man,Remi Wolf,2021-08-18,195038,60,0.847,0.0129,0.847,0.572,6.81e-06,0.0714,-4.796,0.259,100.043,4
40,Wins On Me,Wins On Me,Derek Minor,2021-08-24,146378,47,0.699,0.0397,0.699,0.712,0.0,0.682,-7.118,0.104,95.027,4
41,Lonely Romance,To You EP,CRi,2021-08-13,342604,27,0.727,0.115,0.727,0.769,0.848,0.126,-7.595,0.0503,120.002,4
42,Single & Happy (feat. Wale & Eric Bellinger),Single & Happy,Kash Doll,2021-08-27,190224,58,0.702,0.0415,0.702,0.651,0.0,0.0744,-8.073,0.225,88.826,4
43,Magnum,Infinity,Nicky Jam,2021-08-27,182466,75,0.771,0.194,0.771,0.804,3.58e-06,0.0781,-4.175,0.11,93.824,4
44,abcdefu,abcdefu,GAYLE,2021-08-13,168601,59,0.695,0.299,0.695,0.54,0.0,0.367,-5.692,0.0493,121.932,4
45,Right Where You Like,Right Where You Like,Andrea Chahayed,2021-07-29,172831,48,0.802,0.328,0.802,0.613,0.00907,0.188,-10.494,0.048,113.033,4
46,Mr. Perfect Freestyle,Mr. Perfect Freestyle,Al-Doms,2021-08-04,156494,37,0.821,0.000803,0.821,0.747,0.0,0.393,-6.955,0.247,96.011,4
47,I Know,OnlyL,TSHA,2021-08-27,288038,49,0.687,0.103,0.687,0.803,0.869,0.158,-5.873,0.0322,115.0,4
48,Do It To It,Do It To It,ACRAZE,2021-08-20,157890,66,0.854,0.0209,0.854,0.806,0.0542,0.0703,-8.262,0.0886,124.927,4
49,Rollin',Rollin',Nabes,2021-08-20,162000,41,0.704,0.676,0.704,0.418,9.25e-06,0.101,-10.85,0.111,87.514,4
50,I Need You,If I'm Being Honest...,Gable Price and Friends,2021-08-20,244965,46,0.485,0.0183,0.485,0.778,0.0,0.12,-7.327,0.0496,135.898,4
