,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
37,Desde el Underground,Desde el Underground,Wally Lopez,2021-09-17,213008,0,0.84,0.0161,0.84,0.583,0.0685,0.0562,-10.882,0.0679,122.002,4
38,Tesseract,Lu | Sal Amander | Tesseract,Nors Kode,2021-09-10,397377,28,0.761,0.0491,0.761,0.506,0.871,0.0535,-11.445,0.0561,123.985,4
39,Drago,Drago,Booka Shade,2021-09-03,409000,47,0.802,0.00901,0.802,0.713,0.913,0.104,-9.002,0.0481,123.015,4
40,Pont de la Caille,Pont de la Caille,Hidden Empire,2021-09-02,313809,45,0.678,0.00168,0.678,0.901,0.899,0.109,-8.83,0.0438,123.98,4
41,The End is the Beginning,The End is the Beginning,Klanglos,2021-09-03,409095,42,0.748,0.0139,0.748,0.8,0.889,0.109,-8.777,0.0479,132.01,4
42,Sometimes You Gotta Let It Go,Sometimes You Gotta Let It Go,Will Clarke,2021-09-03,213793,37,0.288,0.00091,0.288,0.841,0.158,0.385,-7.989,0.0431,127.008,4
43,Rave Against the System,Rave Against the System,Vitalic,2021-09-16,298560,3,0.723,0.00288,0.723,0.627,0.337,0.0809,-5.449,0.108,133.334,4
44,The Pit,The Pit,W.LV.S,2021-09-15,368000,7,0.657,0.0582,0.657,0.904,0.812,0.107,-10.242,0.0844,132.008,4
45,Lost Signal - Vanita Remix,Lost Signal (Vanita Remix),BRAGKEN,2021-09-10,377727,27,0.741,0.00125,0.741,0.888,0.904,0.0976,-9.738,0.0464,125.008,4
46,Afterhour,Afterhour,MARIA Die RUHE,2021-09-03,207902,36,0.849,0.145,0.849,0.578,0.512,0.368,-10.432,0.0621,119.97,4
47,Futaleufu - Britta Arnold Remix,Futaleufu (Britta Arnold Remix),Los Cabra,2021-09-10,412195,26,0.792,3.45e-05,0.792,0.756,0.911,0.106,-8.14,0.067,122.994,4
48,Binford,Binford,Matthias Tanzmann,2021-09-09,331066,28,0.798,0.000203,0.798,0.876,0.899,0.0698,-7.326,0.0697,123.989,4
49,Krakno,Krakno EP,DR. DRTY,2021-09-03,232380,37,0.641,0.00479,0.641,0.9,0.852,0.472,-6.764,0.0443,126.037,4
50,Tell Me - Radio-Edit,Tell Me,Patrick Scuro,2021-09-17,269538,0,0.608,0.00245,0.608,0.832,0.709,0.277,-9.088,0.0351,130.046,4
51,210407.1,WSNWG008,Fadi Mohem,2021-09-06,364947,30,0.734,0.029,0.734,0.839,0.903,0.108,-9.67,0.0651,138.035,4
52,Pressure Point,"There's Always Cacao in Exotic Places, Vol. 5",Floyd Lavine,2021-09-17,423590,0,0.802,0.00975,0.802,0.636,0.883,0.0737,-11.342,0.0692,127.995,4
53,Basic Juno,Studio A Pt.1,Ian Pooley,2021-09-10,367578,28,0.751,0.00748,0.751,0.488,0.87,0.0816,-12.032,0.0879,125.99,4
54,Not for Me,Not for Me,Gregor Salto,2021-09-03,220161,45,0.759,0.0216,0.759,0.844,0.0559,0.105,-5.481,0.0586,124.024,4
55,Don't Cry,Don't Cry,Model Man,2021-09-16,211613,17,0.74,0.114,0.74,0.562,0.0756,0.22,-10.018,0.0378,124.962,4
56,Osama - Edit,Osama (Edit),Zakes Bantwini,2021-09-10,223666,29,0.565,0.0661,0.565,0.806,0.376,0.0682,-8.467,0.0353,122.008,4
57,Letters - NTO Remix,A Magic World (Remixes),KAS:ST,2021-09-10,365971,39,0.493,0.0934,0.493,0.56,0.806,0.113,-10.844,0.0518,119.362,4
58,Flight Number,Flight Number,Smilla,2021-09-10,356777,34,0.682,0.109,0.682,0.334,0.895,0.11,-15.296,0.0831,135.01,4
59,Transformer - Original Mix,Transformer,Xenia (UA),2021-09-10,264944,29,0.697,0.0357,0.697,0.872,0.14,0.0775,-5.775,0.0644,134.992,3
60,Chasing Highs,Chasing Highs,Héctor Oaks,2021-09-10,378866,31,0.691,0.149,0.691,0.921,0.166,0.128,-7.426,0.0666,139.984,4
61,Leily - Dirty Doering Remix,Leily,Ava Irandoost,2021-09-10,414120,24,0.797,0.00031,0.797,0.572,0.93,0.0952,-7.744,0.0569,123.003,4
62,Chilli Heatwave,25 Minutes of Relaxing ASMR,Girls of the Internet,2021-09-10,275131,26,0.702,0.0109,0.702,0.393,0.695,0.0902,-12.938,0.0478,119.986,4
63,Behind The Wall - Tiefe Wasser Berlin's Singin' Bird Dub,Behind The Wall (Tiefe Wasser Berlin's Singin' Bird Dub),Monvol,2021-09-15,320206,1,0.902,0.00202,0.902,0.272,0.837,0.0845,-11.051,0.108,118.012,4
64,The Lightness,Between Shadows & Lights,Clawz SG,2021-09-10,311135,24,0.66,0.0174,0.66,0.695,0.699,0.0673,-9.686,0.0344,122.001,3
65,Thread Tension,Thread Tension,Durante,2021-09-10,319212,33,0.628,0.055,0.628,0.848,0.853,0.0609,-8.849,0.0496,121.981,4
